# UNIX time, Current (A), PS Voltage (V), REF Voltage (V)
# SAMPLE_SURFACE = 18.4
# SAMPLE_NAME = WTh-Cu_batch1
# COATING_STEP = 3
1.563882638765625000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882638875000000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639078125000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639281250000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639437500000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639546875000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639656250000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639765625000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882639859375000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882640203125000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882640375000000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882640531250000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882640640625000e+09	-0.000000000000000000e+00	4.000000000000000083e-03
1.563882640859375000e+09	5.010000000000000009e-01	2.010000000000000120e-01
1.563882640968750000e+09	5.030000000000000027e-01	2.010000000000000120e-01
1.563882641343750000e+09	5.050000000000000044e-01	2.020000000000000129e-01
1.563882641546875000e+09	5.080000000000000071e-01	2.020000000000000129e-01
1.563882641703125000e+09	5.100000000000000089e-01	2.020000000000000129e-01
1.563882641812500000e+09	5.080000000000000071e-01	2.020000000000000129e-01
1.563882641921875000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882642031250000e+09	5.050000000000000044e-01	2.020000000000000129e-01
1.563882642250000000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882642578125000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882642796875000e+09	5.050000000000000044e-01	2.020000000000000129e-01
1.563882642906250000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882643015625000e+09	5.050000000000000044e-01	2.010000000000000120e-01
1.563882643125000000e+09	5.050000000000000044e-01	2.020000000000000129e-01
1.563882643234375000e+09	5.060000000000000053e-01	2.010000000000000120e-01
1.563882643593750000e+09	5.050000000000000044e-01	2.010000000000000120e-01
1.563882643765625000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882643890625000e+09	5.050000000000000044e-01	2.010000000000000120e-01
1.563882644000000000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882644109375000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882644218750000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882644328125000e+09	5.050000000000000044e-01	2.020000000000000129e-01
1.563882644703125000e+09	5.060000000000000053e-01	2.010000000000000120e-01
1.563882644890625000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882645000000000e+09	5.080000000000000071e-01	2.020000000000000129e-01
1.563882645109375000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882645218750000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882645328125000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882645562500000e+09	5.080000000000000071e-01	2.020000000000000129e-01
1.563882645843750000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882645968750000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882646078125000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882646187500000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882646296875000e+09	5.050000000000000044e-01	2.010000000000000120e-01
1.563882646406250000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882646781250000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882646921875000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882647078125000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882647187500000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882647296875000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882647406250000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882647515625000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882647843750000e+09	5.060000000000000053e-01	2.010000000000000120e-01
1.563882648062500000e+09	5.060000000000000053e-01	2.020000000000000129e-01
1.563882648187500000e+09	5.080000000000000071e-01	2.020000000000000129e-01
1.563882648296875000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882648406250000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882648515625000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882648625000000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882648890625000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882649156250000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882649328125000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882649437500000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882649546875000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882649656250000e+09	5.050000000000000044e-01	2.010000000000000120e-01
1.563882649765625000e+09	5.070000000000000062e-01	2.020000000000000129e-01
1.563882650046875000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882650281250000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882650406250000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882650515625000e+09	5.070000000000000062e-01	2.010000000000000120e-01
1.563882650625000000e+09	5.080000000000000071e-01	2.020000000000000129e-01
1.563882650734375000e+09	5.070000000000000062e-01	2.020000000000000129e-01
